person,points,percentile
Cousin Sal - ESPN,1200,92.1
J.A. Adande - ESPN,1090,87
MatthewBerry - ESPN,1000,77.7
Jeff Goodman - ESPN,990,76.5
Scott Van Pelt - ESPN,990,76.5
Vanessa Marshall - ESPN,970,73.9
Taylor Gray - ESPN,960,72.5
Mike Golic - ESPN,950,71.1
Dave Rothenberg - ESPN,920,66.6
Michael Smith - ESPN,910,65.1
Bill Plaschke - ESPN,900,63.6
Ryan Riess - ESPN,850,55.4
Dan LeBatard - ESPN,830,52.2
Paula Faris - ESPN,830,52.2
Virgil Green - ESPN,760,39.5
Chris Harris Jr. - ESPN,760,39.5
President Obama,760,39.5
Dick Vitale - ESPN,750,37.6
Jonathan Sadowski - ESPN,740,35.5
Derrick Favors - ESPN,730,33.6
Simon Carr - ESPN,720,31.6
Joe Lunardi - ESPN,720,31.6
Mike GreenbergESPN_MikeGreenberg,710,29.7
Stephania Bell - ESPN,710,29.7
Eric Young - ESPN,690,26
Casey Hayward - Athlete,670,22.5
Tim Cowlishaw - ESPN,590,11.9
Jim Cramer - ESPN,550,8.6
Nando Vila - ESPN,520,6.8
